scheme_id,scheme_name,ministry,category,min_age,max_age,gender,occupation,max_income,min_land_acres,bpl_required,caste_eligible,disability_required,widow_required,bank_account_required,benefit_amount,benefit_type,documents_required,application_portal,helpline
S01,PM-KISAN (Pradhan Mantri Kisan Samman Nidhi),Ministry of Agriculture,Agriculture,18,75,Any,Farmer,150000,0.5,No,Any,No,No,Yes,6000,Annual Cash Transfer,"Aadhaar|Land Record (Khasra-Khatauni)|Bank Passbook|Passport Photo",pmkisan.gov.in,155261
S02,Ayushman Bharat PMJAY,Ministry of Health,Health Insurance,0,100,Any,Any,500000,0,Yes,Any,No,No,No,500000,Annual Health Cover,"Aadhaar|BPL/Ration Card|Family Income Proof",pmjay.gov.in,14555
S03,PMFBY (Pradhan Mantri Fasal Bima Yojana),Ministry of Agriculture,Crop Insurance,18,70,Any,Farmer,200000,0.5,No,Any,No,No,Yes,200000,Crop Loss Insurance,"Aadhaar|Land Record|Bank Passbook|Crop Sowing Certificate|Kisan Credit Card",pmfby.gov.in,1800116515
S04,PMAY-G (Pradhan Mantri Awas Yojana Gramin),Ministry of Rural Development,Housing,18,65,Any,Any,120000,0,Yes,Any,No,No,Yes,120000,One-time Construction Aid,"Aadhaar|BPL Card|Income Certificate|Caste Certificate|Passport Photo|Land Document",pmayg.nic.in,1800116446
S05,IGNOAPS (Indira Gandhi National Old Age Pension),Ministry of Rural Development,Pension,60,100,Any,Any,100000,0,Yes,Any,No,No,Yes,500,Monthly Pension,"Aadhaar|Age Proof (Birth Certificate/School Certificate)|BPL Card|Bank Passbook|Passport Photo",nsap.nic.in,1800111555
S06,IGNWPS (Indira Gandhi National Widow Pension),Ministry of Rural Development,Pension,40,79,Female,Any,100000,0,Yes,Any,No,Yes,Yes,500,Monthly Pension,"Aadhaar|Husband Death Certificate|BPL Card|Bank Passbook|Age Proof|Passport Photo",nsap.nic.in,1800111555
S07,IGNDPS (Indira Gandhi National Disability Pension),Ministry of Rural Development,Pension,18,79,Any,Any,100000,0,Yes,Any,Yes,No,Yes,500,Monthly Pension,"Aadhaar|Disability Certificate (40%+)|BPL Card|Bank Passbook|Passport Photo",nsap.nic.in,1800111555
S08,PM Kisan Mandhan Yojana (PM-KMY),Ministry of Agriculture,Pension,18,40,Any,Farmer,150000,0,No,Any,No,No,Yes,3000,Monthly Pension after 60,"Aadhaar|Bank Passbook|Land Record|Mobile Number",maandhan.in,1800267788
S09,National Food Security Act (NFSA/PDS),Ministry of Consumer Affairs,Food Security,0,100,Any,Any,150000,0,Yes,Any,No,No,No,5,Subsidised Grain 5kg/month,"Aadhaar|Ration Card",nfsa.gov.in,14445
S10,Sukanya Samriddhi Yojana (SSY),Ministry of Finance,Girl Child Savings,0,10,Female,Any,300000,0,No,Any,No,No,Yes,0,Maturity Corpus at 21 years,"Aadhaar (Parent+Child)|Child Birth Certificate|Bank Passbook|Address Proof",indiapost.gov.in,18002666868
S11,SC/ST Post-Matric Scholarship,Ministry of Social Justice,Education,18,30,Any,Student,250000,0,No,SC-ST,No,No,Yes,3000,Monthly Scholarship + Fees,"Aadhaar|Caste Certificate|Previous Year Mark Sheet|Bank Passbook|College Admission Letter",scholarships.gov.in,0120-6619540
S12,OBC Pre-Matric Scholarship,Ministry of Social Justice,Education,10,20,Any,Student,300000,0,No,OBC,No,No,Yes,1000,Monthly Stipend,"Aadhaar|OBC Caste Certificate|Mark Sheet|Bank Passbook|School Bonafide Certificate",scholarships.gov.in,0120-6619540
S13,PMEGP (PM Employment Generation Programme),Ministry of MSME,Self Employment,18,35,Any,Any,0,0,No,Any,No,No,Yes,2500000,Business Loan up to ₹25L,"Aadhaar|Project Report|Education Certificate|Bank Passbook|Address Proof|3 Photos",kviconline.gov.in,18001806763
S14,Kisan Credit Card (KCC),Ministry of Agriculture,Credit,18,75,Any,Farmer,200000,0.5,No,Any,No,No,Yes,0,Crop Loan at 4% Interest,"Aadhaar|Land Record|Bank Passbook|Passport Photo|Income Certificate",pmkisan.gov.in,155261
S15,MGNREGA (Mahatma Gandhi NREGS),Ministry of Rural Development,Employment,18,100,Any,Daily Wage,150000,0,Yes,Any,No,No,Yes,0,100 Days Guaranteed Work/Year,"Aadhaar|Job Card|Bank Passbook|Address Proof",nrega.nic.in,1800111555
S16,PM Ujjwala Yojana (PMUY),Ministry of Petroleum,LPG Connection,18,65,Female,Any,150000,0,Yes,Any,No,No,Yes,0,Free LPG Connection + Cylinder,"Aadhaar|BPL/Ration Card|Bank Passbook|Address Proof|Passport Photo",pmuy.gov.in,18002333555
S17,Jan Dhan Yojana (PMJDY),Ministry of Finance,Banking,18,100,Any,Any,0,0,No,Any,No,No,No,0,Zero Balance Bank Account + RuPay Card + ₹10000 OD,"Aadhaar|Any Address Proof",pmjdy.gov.in,18001110001
S18,Atal Pension Yojana (APY),Ministry of Finance,Pension,18,40,Any,Any,0,0,No,Any,No,No,Yes,5000,Monthly Pension of ₹1000-5000 after 60,"Aadhaar|Bank Account|Mobile Number",jansuraksha.gov.in,18001801111
S19,Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),Ministry of Finance,Life Insurance,18,50,Any,Any,0,0,No,Any,No,No,Yes,200000,Life Cover ₹2L at ₹436/year,"Aadhaar|Bank Account|Mobile Number",jansuraksha.gov.in,18001801111
S20,Pradhan Mantri Suraksha Bima Yojana (PMSBY),Ministry of Finance,Accident Insurance,18,70,Any,Any,0,0,No,Any,No,No,Yes,200000,Accident Cover ₹2L at ₹20/year,"Aadhaar|Bank Account|Mobile Number",jansuraksha.gov.in,18001801111
S21,Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDU-GKY),Ministry of Rural Development,Skill Training,15,35,Any,Daily Wage,150000,0,Yes,Any,No,No,No,0,Free Skill Training + Placement,"Aadhaar|BPL Card|Education Certificate|Address Proof",ddugky.gov.in,18002700514
S22,National Rural Livelihood Mission (NRLM/DAY),Ministry of Rural Development,SHG/Livelihood,18,60,Female,Any,150000,0,Yes,Any,No,No,Yes,0,SHG Credit + Livelihood Support,"Aadhaar|BPL Card|Bank Passbook|Address Proof",aajeevika.gov.in,1800180631
S23,PM Scholarship Scheme (PMSS) for Ex-Servicemen,Ministry of Defence,Education,18,25,Any,Student,600000,0,No,Any,No,No,Yes,3000,Monthly Scholarship,"Aadhaar|Ex-Serviceman Certificate|Mark Sheet|Bank Passbook|Admission Letter",ksb.gov.in,18001805469
S24,Beti Bachao Beti Padhao (BBBP),Ministry of WCD,Girl Child,0,18,Female,Any,500000,0,No,Any,No,No,Yes,0,Awareness + Education Support,"Birth Certificate|Aadhaar|School Enrollment Proof",wcd.nic.in,181
S25,National Scheme for Welfare of Fishermen,Ministry of Fisheries,Fishermen Welfare,18,70,Any,Fisherman,200000,0,No,Any,No,No,Yes,0,Insurance + Housing + Kit Support,"Aadhaar|Fisherman Certificate|Bank Passbook|Boat Registration (if applicable)",dof.gov.in,1800425115
